source_system,source_class_name,source_classid,insqlfileurl,datalake_table_name,target_system,target_class_name,target_classid
DELTA,BRZ_CURR_COMPASS_ICI.RETAILTYPES_2,1218,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.RETAILTYPES_2.sql,transient_talend_BRZ_CURR_COMPASS_ICI.RETAILTYPES_2,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_RETAILTYPES,1219
DELTA,BRZ_CURR_COMPASS_ICI.SIZESCALEGENDER,1157,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.SIZESCALEGENDER.sql,transient_talend_BRZ_CURR_COMPASS_ICI.SIZESCALEGENDER,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_SSCAL_GNDR,1158
DELTA,BRZ_CURR_COMPASS_ICI.STYLEFEATURECODES_1,1212,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.STYLEFEATURECODES_1.sql,transient_talend_BRZ_CURR_COMPASS_ICI.STYLEFEATURECODES_1,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_STYLE_FEAT_CODE,1213
DELTA,BRZ_CURR_COMPASS_ICI.STYLEFEATURES_1,1199,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.STYLEFEATURES.sql,transient_talend_BRZ_CURR_COMPASS_ICI.STYLEFEATURES,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_STYLE_FEATURES,1200
DELTA,BRZ_CURR_COMPASS_ICI.STYLELASTPROD,1188,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.STYLELASTPROD.sql,transient_talend_BRZ_CURR_COMPASS_ICI.STYLELASTPROD,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_STYLE_LAST_PROD,1189
DELTA,BRZ_CURR_COMPASS_ICI.STYLE_ICI,1301,/data/talend/vars/INSQL/delta/compass/BRZ_CURR_COMPASS_ICI.STYLES_ICI.sql,BRZ_CURR_COMPASS_ICI.STYLES_ICI,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_STYLES,1302
DELTA,BRZ_CURR_COMPASS_ICI.TERRITORIES_VDX,1144,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.TERRITORIES_VDX.sql,transient_talend_BRZ_CURR_COMPASS_ICI.TERRITORIES_VDX,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_TERRITORY,1145
DELTA,BRZ_CURR_COMPASS_ICI.TERRITORYXREFDW,1077,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.TERRITORYXREFDW.sql,transient_talend_BRZ_CURR_COMPASS_ICI.TERRITORYXREFDW,snowflake,DB_STAGING.DW_RIPSAW.LU_ICI_TERR_XREF_DW,1078
DELTA,BRZ_CURR_GARPAC_SHOE.CANCELORDERDETAIL,1224,/data/talend/vars/INSQL/delta/garpac/BRZ_CURR_GARPAC_SHOE.CANCELORDERDETAIL.sql,BRZ_CURR_GARPAC_SHOES.CANCELORDERDETAIL,snowflake,DB_STAGING.DW_RIPSAW.ZZOCNCRD,1225
DELTA,BRZ_CURR_GARPAC_SHOE.CANCELORDERHEADER,1176,/data/talend/vars/INSQL/delta/garpac/BRZ_CURR_GARPAC_SHOE.CANCELORDERHEADER.sql,BRZ_CURR_GARPAC_SHOES.CANCELORDERHEADER,snowflake,DB_STAGING.DW_RIPSAW.ZZOCNCRH,1177
DELTA,BRZ_CURR_GARPAC_SHOE.CHECKMDSERETURNSBYRETURNS,1149,/data/talend/vars/INSQL/delta/garpac/BRZ_CURR_GARPAC_SHOE.CHECKMDSERETURNSBYRETURNS.sql,BRZ_CURR_GARPAC_SHOES.CHECKMDSERETURNSBYRETURNS,snowflake,DB_STAGING.DW_RIPSAW.CMRR_TEMP_FT_RECONCILE,1150
DELTA,BRZ_CURR_GARPAC_SHOE.CHECKORDERSOPENBYORDER,1142,/data/talend/vars/INSQL/delta/garpac/BRZ_CURR_GARPAC_SHOE.CHECKORDERSOPENBYORDER.sql,BRZ_CURR_GARPAC_SHOES.CHECKORDERSOPENBYORDER,snowflake,DB_STAGING.DW_RIPSAW.COOO_TEMP_FT_RECONCILE,1143
DELTA,BRZ_CURR_GARPAC_SHOE.CHECKORDERSPICKBYORDER,1122,/data/talend/vars/INSQL/delta/garpac/BRZ_CURR_GARPAC_SHOE.CHECKORDERSPICKBYORDER.sql,BRZ_CURR_GARPAC_SHOES.CHECKORDERSPICKBYORDER,snowflake,DB_STAGING.DW_RIPSAW.COPO_TEMP_FT_RECONCILE,1123
DELTA,BRZ_CURR_GARPAC_SHOE.DW_ORDERS,1377,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.DW_ORDERS.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.DW_ORDERS,snowflake,DB_STAGING.DW_RIPSAW.DW_ORDERS,1378
DELTA,BRZ_CURR_GARPAC_SHOE.INCR_FT_PROD_ORD_INSQL,1349,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.INCR_FT_PROD_ORD_INSQL.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.INCR_FT_PROD_ORD_INSQL,snowflake,DB_STAGING.DW_RIPSAW.TEMP_FT_PRODUCTION_ORD,1350
DELTA,BRZ_CURR_GARPAC_SHOE.INCR_INSQL_FT_SHIPPING_ADVICE_VDX,1356,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.INCR_INSQL_FT_SHIPPING_ADVICE_VDX.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.INCR_INSQL_FT_SHIPPING_ADVICE_VDX,snowflake,DB_STAGING.DW_RIPSAW.TEMP_FT_SHIPPING_ADVICE,1357
DELTA,BRZ_CURR_GARPAC_SHOE.INPUT0_LU_CU_ST_DIV,1324,/data/talend/vars/INSQL/delta/garpac/BRZ_CURR_GARPAC_SHOE.INPUT0_LU_CU_ST_DIV.sql,BRZ_CURR_GARPAC_SHOES.INPUT0_LU_CU_ST_DIV,snowflake,DB_STAGING.DW_RIPSAW.INPUT0_LU_CU_ST_DIV,1325
DELTA,BRZ_CURR_GARPAC_SHOE.INPUT0_LU_CU_ST_DIV_NA,1333,/data/talend/vars/INSQL/delta/garpac/BRZ_CURR_GARPAC_SHOE.INPUT0_LU_CU_ST_DIV_NA.sql,BRZ_CURR_GARPAC_SHOES.INPUT0_LU_CU_ST_DIV_NA,snowflake,DB_STAGING.DW_RIPSAW.INPUT0_LU_CU_ST_DIV_NA,1334
DELTA,BRZ_CURR_GARPAC_SHOE.INSQL_FT_CUST_CHARGE_VDX,1364,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.INSQL_FT_CUST_CHARGE_VDX.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.INSQL_FT_CUST_CHARGE_VDX,snowflake,DB_STAGING.DW_RIPSAW.TEMP_FT_CUST_CHARGE_1,1365
DELTA,BRZ_CURR_GARPAC_SHOE.INSQL_ZZXSTYLER_ZZXCOLR_VDX,1353,/data/talend/vars/INSQL/delta/garpac/transient_talend_insql_zzxstyler_zzxcolr_vdx.sql,transient_talend_insql_zzxstyler_zzxcolr_vdx,snowflake,DB_STAGING.DW_RIPSAW.INCR_LU_STYLE_COLOR,1354
DELTA,BRZ_CURR_GARPAC_SHOE.LU_SALESPERSON,1211,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.LU_SALESPERSON.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.LU_SALESPERSON,snowflake,DB_STAGING.DW_RIPSAW.LU_SALESPERSON,1204
DELTA,BRZ_CURR_GARPAC_SHOE.LU_STORE,1289,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.ZZXSTORR.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.ZZXSTORR,snowflake,DB_STAGING.DW_RIPSAW.LU_STORE,1290
DELTA,BRZ_CURR_GARPAC_SHOE.RTXCUSTR_2,1130,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE_RTXCUSTR.sql,transient_talend_BRZ_CURR_GARPAC_SHOE_RTXCUSTR,snowflake,DB_STAGING.DW_RIPSAW.LU_SKR_RTXCUSTR,1131
DELTA,BRZ_CURR_GARPAC_SHOE.SHIP_ORDER_HEADER,1186,/data/talend/vars/INSQL/delta/garpac/transient_talend.SHIP_ORDER_HEADER_1.sql,transient_talend.SHIP_ORDER_HEADER_1,snowflake,DB_STAGING.DW_RIPSAW.ZZOSHPRH,1194
DELTA,BRZ_CURR_GARPAC_SHOE.SKOBSTGH,1128,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.SKOBSTGH.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.SKOBSTGH,snowflake,DB_STAGING.DW_RIPSAW.STG_SKOBSTGH,1129
DELTA,BRZ_CURR_GARPAC_SHOE.SKOMKDNR,1061,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.SKOMKDNR.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.SKOMKDNR,snowflake,DB_STAGING.DW_RIPSAW.LU_MARK_DOWN,1062
DELTA,BRZ_CURR_GARPAC_SHOE.SKRUPCNR,1065,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.SKRUPCNR.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.SKRUPCNR,snowflake,DB_STAGING.DW_RIPSAW.SKRUPCNR,1091
DELTA,BRZ_CURR_GARPAC_SHOE.SKXBUYER,1048,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.SKXBUYER.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.SKXBUYER,snowflake,DB_STAGING.DW_RIPSAW.LU_BUYER,1049
DELTA,BRZ_CURR_GARPAC_SHOE.SKXCCNVR_REP,1341,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.SKXCCNVR_REP.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.SKXCCNVR_REP,snowflake,DB_STAGING.DW_RIPSAW.LU_CURR_EXCH,1342
DELTA,BRZ_CURR_GARPAC_SHOE.SKXCUSTA,1163,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.SKXCUSTA.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.SKXCUSTA,snowflake,DB_STAGING.DW_RIPSAW.TEMP_SKXCUSTA,1164
DELTA,BRZ_CURR_GARPAC_SHOE.SKXFEATR,1269,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.SKXFEATR.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.SKXFEATR,snowflake,DB_STAGING.DW_RIPSAW.TEMP_SKXFEATR,1270
DELTA,BRZ_CURR_GARPAC_SHOE.SKXNCHGR_1,1337,/data/talend/vars/INSQL/delta/garpac/transient_talend_skxnchgr_1.sql,transient_talend_skxnchgr_1,snowflake,DB_STAGING.DW_RIPSAW.LU_SKX_CUST_CHARGE,1338
DELTA,BRZ_CURR_GARPAC_SHOE.SKXREGNR,1052,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.SKXREGNR.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.SKXREGNR,snowflake,DB_STAGING.DW_RIPSAW.LU_REGION,1054
DELTA,BRZ_CURR_GARPAC_SHOE.SKXSCDSD,1050,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.SKXSCDSD.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.SKXSCDSD,snowflake,DB_STAGING.DW_RIPSAW.FT_SKX_SCDSD,1190
DELTA,BRZ_CURR_GARPAC_SHOE.SKXSEGMR_VDX,1138,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.SKXSEGMR_VDX.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.SKXSEGMR_VDX,snowflake,DB_STAGING.DW_RIPSAW.LU_CUST_SEGMENT,1139
DELTA,BRZ_CURR_GARPAC_SHOE.SKXTERRR,1071,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.SKXTERRR.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.SKXTERRR,snowflake,DB_STAGING.DW_RIPSAW.LU_TERRITORY,1072
DELTA,BRZ_CURR_GARPAC_SHOE.SKXWIMGR,1232,/data/talend/vars/INSQL/delta/garpac/BRZ_CURR_GARPAC_SHOE.SKXWIMGR.sql,BRZ_CURR_GARPAC_SHOES.SKXWIMGR,snowflake,DB_STAGING.DW_RIPSAW.TEMP_SKXWIMGR,1233
DELTA,BRZ_CURR_GARPAC_SHOE.TEMP_ZZRALOWR,1159,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.TEMP_ZZRALOWR.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.TEMP_ZZRALOWR,snowflake,DB_STAGING.DW_RIPSAW.TEMP_LU_ALLOW_CODE,1160
DELTA,BRZ_CURR_GARPAC_SHOE.T_TEMP_FT_WRITE_OFF,1167,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.T_TEMP_FT_WRITE_OFF.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.T_TEMP_FT_WRITE_OFF,snowflake,DB_STAGING.DW_RIPSAW.TEMP_FT_WRITE_OFF,1168
DELTA,BRZ_CURR_GARPAC_SHOE.XREF,1238,/data/talend/vars/INSQL/delta/garpac/transient_talend_XREF.sql,transient_talend_XREF,snowflake,DB_STAGING.DW_RIPSAW.LU_CONSOL_INV_XREF,1239
DELTA,BRZ_CURR_GARPAC_SHOE.ZZAAVALR,1087,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.ZZAAVALR.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.ZZAAVALR,snowflake,DB_STAGING.DW_RIPSAW.ZZAAVALR,1088
DELTA,BRZ_CURR_GARPAC_SHOE.ZZANSRSR,1084,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.ZZANSRSR.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.ZZANSRSR,snowflake,DB_STAGING.DW_RIPSAW.ZZANSRSR,1085
DELTA,BRZ_CURR_GARPAC_SHOE.ZZNCRDTH,1254,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.ZZNCRDTH.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.ZZNCRDTH,snowflake,DB_STAGING.DW_RIPSAW.TEMP_ZZNCRDTH,1255
DELTA,BRZ_CURR_GARPAC_SHOE.ZZNMEMOD,1067,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.ZZNMEMOD.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.ZZNMEMOD,snowflake,DB_STAGING.DW_RIPSAW.ZZNMEMOD,1068
DELTA,BRZ_CURR_GARPAC_SHOE.ZZNMEMOH,1057,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.ZZNMEMOH.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.ZZNMEMOH,snowflake,DB_STAGING.DW_RIPSAW.ZZNMEMOH,1058
DELTA,BRZ_CURR_GARPAC_SHOE.ZZNRESNR,1161,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.ZZNRESNR.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.ZZNRESNR,snowflake,DB_STAGING.DW_RIPSAW.LU_RETURN_REASON,1162
