source_system,source_class_name,source_classid,insqlfileurl,datalake_table_name,target_system,target_class_name,target_classid
DELTA,BRZ_CURR_GARPAC_SHOE.ZZXSADDN,1246,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.ZZXSADDN.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.ZZXSADDN,snowflake,DB_STAGING.DW_RIPSAW.LU_UNIT_COST,1247
DELTA,BRZ_CURR_GARPAC_SHOE.ZZXSCOLAU,1153,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.ZZXSCOLAU.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.ZZXSCOLAU,snowflake,DB_STAGING.DW_RIPSAW.LU_STYCOL_AUDIT,1154
DELTA,BRZ_CURR_GARPAC_SHOE.ZZXSIZER,1069,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.ZZXSIZER.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.ZZXSIZER,snowflake,DB_STAGING.DW_RIPSAW.ZZXSIZER,1070
DELTA,BRZ_CURR_GARPAC_SHOE.ZZXSLSPR_PII,1103,/data/talend/vars/INSQL/delta/garpac/transient_talend_ZZXSLSPR_PII.sql,transient_talend_ZZXSLSPR_PII,snowflake,DB_STAGING.DW_RIPSAW.LU_DOM_SALESPERSON,1104
DELTA,BRZ_CURR_GARPAC_SHOE.ZZXSLSPR_VDX,1134,/data/talend/vars/INSQL/delta/garpac/transient_talend.ZZXSLSPR_VDX.sql,transient_talend.ZZXSLSPR_VDX,snowflake,DB_STAGING.DW_RIPSAW.LU_SALES_MANAGER,1135
DELTA,BRZ_CURR_GARPAC_SHOE.ZZXSTORR_T_LU_GARPAC_STORE,1105,/data/talend/vars/INSQL/delta/garpac/transient_talend_ZZXSTORR_T_LU_GARPAC_STORE.sql,transient_talend_ZZXSTORR_T_LU_GARPAC_STORE,snowflake,DB_STAGING.DW_RIPSAW.LU_GARPAC_STORE,1106
DELTA,BRZ_CURR_GARPAC_SHOE.ZZXTERMR,1120,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE_ZZXTERMR.sql,transient_talend_BRZ_CURR_GARPAC_SHOE_ZZXTERMR,snowflake,DB_STAGING.DW_RIPSAW.LU_SKX_COMM_TERMS,1121
csv,DIVISION_SPLIT,1273,/data/talend/vars/bin/DIVISION_SPLIT.sh,DIVISION_SPLIT.sh,snowflake,DB_STAGING.DW_RIPSAW.LU_DIVISION_SPLIT,1274
csv,DOM_CUST_AGREEMENTS,1175,/data/talend/vars/bin/dom_cust_agreements.sh,dom_cust_agreements.sh,snowflake,DB_STAGING.DW_RIPSAW.DOM_CUST_AGREEMENTS,1180
csv,DOM_DIV_GEN_SEGMENT,1236,/data/talend/vars/bin/transient_talend_DOM_DIV_GEN_SEGMENT.sh,transient_talend_DOM_DIV_GEN_SEGMENT.sh,snowflake,DB_STAGING.DW_RIPSAW.LU_DIVISION_MGR,1237
csv,DOM_KEY_INITIATIVE,1230,/data/talend/vars/bin/DOM_KEY_INITIATIVE.sh,DOM_KEY_INITIATIVE.sh,snowflake,DB_STAGING.DW_RIPSAW.LU_DOM_CATEGORY,1231
csv,FILE.DOM_CONTACT_CSV,1244,/data/talend/vars/bin/DOM_CONTACT_CSV.sh,DOM_CONTACT_CSV.sh,snowflake,DB_STAGING.DW_RIPSAW.LU_CONTACT_INFILE_CSV,1245
csv,LU_DOM_TERRITORY,1214,/data/talend/vars/bin/LU_DOM_TERRITORY.sh,LU_DOM_TERRITORY.sh,snowflake,DB_STAGING.DW_RIPSAW.LU_DOM_TERRITORY,1215
DELTA,MOD.BRZ_CURR_COMPASS_ICI.RETAILINVENTORY_MOD,1351,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.RETAILINVENTORY.sql,transient_talend_BRZ_CURR_COMPASS_ICI.RETAILINVENTORY,snowflake,DB_STAGING.DW_RIPSAW.FT_SKD_INVENTORY,1352
DELTA,MOD.BRZ_CURR_COMPASS_ICI.RETAILSALES_MOD,1281,/data/talend/vars/INSQL/delta/compass/transient_talend_BRZ_CURR_COMPASS_ICI.RETAILSALES.sql,transient_talend_BRZ_CURR_COMPASS_ICI.RETAILSALES,snowflake,DB_STAGING.DW_RIPSAW.FT_SKD_SALES,1283
DELTA,MOD.BRZ_CURR_GARPAC_SHOE.SKPLABLH,1075,/data/talend/vars/INSQL/delta/garpac/transient_talend_BRZ_CURR_GARPAC_SHOE.SKPLABLH.sql,transient_talend_BRZ_CURR_GARPAC_SHOES.SKPLABLH,snowflake,DB_STAGING.DW_RIPSAW.SKPLABLH,1076
csv,STG_LU_GLOBAL_TERRITORY_SOURCE,1250,/data/talend/vars/bin/transieent_talend_STG_LU_GLOBAL_TERRITORY.sh,transieent_talend_STG_LU_GLOBAL_TERRITORY.sh,snowflake,DB_STAGING.DW_RIPSAW.STG_LU_GLOBAL_TERRITORY,1251
csv,STYLE_COLOR_GROUPS,1297,/data/talend/vars/bin/STYLE_COLOR_GROUPS.sh,STYLE_COLOR_GROUPS.sh,snowflake,DB_STAGING.DW_RIPSAW.LU_STYLE_COLOR_GROUPS,1298
